,molecule,ref_name,ff_name,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,mse_vap_density,mapd_vap_density,mae_vap_density,mpd_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mpd_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mpd_Hvap,mse_diff_coeff,mapd_diff_coeff,mae_diff_coeff,mpd_diff_coeff,mse_Tc,mapd_Tc,mae_Tc,mpd_Tc,mse_rhoc,mapd_rhoc,mae_rhoc,mpd_rhoc
16,Gly,Caleman et al.,OPLS/AA,1.959999999999618,0.11101419395764521,1.3999999999998636,-0.11101419395764521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Gly,Jahn et al.,BC-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gly,Jahn et al.,OPLS1-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gly,Jahn et al.,OPLS2-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Gly,Jahn et al.,OPLS3-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gly,Jahn et al.,R-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MeOH,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MeOH,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MeOH,Chen et al.,TraPPE-UA,6.300099999999954,0.3199449337803203,2.509999999999991,-0.3199449337803203,,,,,0.0002634128999999998,6.5913982861552185,0.016229999999999994,-6.5913982861552185,0.0002829123999999991,9.003318702494365,0.016819999999999974,-9.003318702494365,4444.083296225746,5.716487133093791,66.66395799999987,5.716487133093791,,,,,110.25,2.048780487804878,10.5,-2.048780487804878,124.41171599999991,4.073092175894479,11.153999999999996,4.073092175894479
25,MeOH,Gonzalez-Salgado & Vega,OPLS/2016,,,,,11.589596202499997,110.47095443150332,3.3032249999999994,110.47095443150333,,,,,,,,,,,,,,,,,93.93059956839988,1.8910790243902427,9.691779999999994,1.8910790243902427,69.32227600000036,3.040394966514034,8.326000000000022,-3.040394966514034
26,MeOH,Guevara-Carrion et al.,L2,,,,,,,,,,,,,,,,,,,,,,,,,1.6055930943999421,0.24724292682926385,1.2671199999999772,-0.24724292682926385,14.017535999999785,1.3671917793212138,3.7439999999999714,1.3671917793212138
27,MeOH,Haughney et al.,H1,,,,,,,,,,,,,,,,,,,,,,,,,1241.8385704729005,6.8760448780487815,35.23973000000001,-6.8760448780487815,2302.656195999999,17.52298737246481,47.98599999999999,-17.52298737246481
28,MeOH,Jorgensen,OPLS (Gonzalez-Salgado & Vega),,,,,,,,,,,,,,,,,,,,,,,,,487.9256881216005,4.310056585365856,22.08904000000001,-4.310056585365856,23.77537599999977,1.780562798068979,4.875999999999976,-1.780562798068979
29,MeOH,Martinez-Jimenez et al.,MeOH-4P,47.69251450000017,1.0671091976925977,5.679000000000016,0.5876939947498121,3.092253702499999,57.96930471002925,1.6907249999999996,57.96930471002924,992.7431364177322,67.68646794337924,20.69196925,-67.68646794337926,313.9520304501523,57.57715783122024,12.777375750000001,-57.577157831220234,,,,,,,,,88.35999999999957,1.8341463414634103,9.399999999999977,1.8341463414634103,355.1717160000001,6.881970158410203,18.846000000000004,-6.881970158410203
30,MeOH,van Leeuwen & Smit,L1,,,,,,,,,,,,,,,,,,,,,,,,,45.51634169639993,1.3164058536585355,6.7465799999999945,-1.3164058536585355,0.08643599999998984,0.10735961087617958,0.2939999999999827,0.10735961087617958
