,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature
15,0.9420246242476903,0.1368208779458957,0.0,0.555819574543401,0.836266293105924,0.9506453456007495,0.0,0.807622251463624,0.5
16,0.8235123440278466,0.7320670441130197,0.0,0.5242720704855388,0.9895211274039956,0.29300617974063603,0.0,0.9979074699954127,0.0
17,0.9504984288044059,0.2603080510389816,0.0,0.48558390685016734,0.7917394405624371,0.7070878203887522,0.0,0.16341306960235596,0.25
18,0.8235123440278466,0.7320670441130197,0.0,0.5242720704855388,0.9895211274039956,0.29300617974063603,0.0,0.9979074699954127,0.25
19,0.956709608308232,0.49400681534372215,0.0,0.3929808214937057,0.670414614238941,0.24683977751904493,0.0,0.5051813343573517,1.0
20,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574,0.5
21,0.9420246242476903,0.1368208779458957,0.0,0.555819574543401,0.836266293105924,0.9506453456007495,0.0,0.807622251463624,0.75
22,0.6506332878073464,0.8188028759038082,0.0,0.4791343385829371,0.7854232876541,0.5550942628989702,0.0,0.8975744683040151,0.0
23,0.8725998303046627,0.7392463259729741,0.0,0.43296816700370294,0.7237776034265996,0.3800432759641878,0.0,0.9735393022715818,0.25
24,0.8744257119557013,0.18670560692840454,0.0,0.6146764563273304,0.9234145228716372,0.3546922079186539,0.0,0.8880519501060664,0.25
25,0.9132294446522653,0.8599510327564929,0.0,0.3394141021702589,0.9751670219143678,0.18407315799684512,0.0,0.8658271394629379,0.5
26,0.8235123440278466,0.7320670441130197,0.0,0.5242720704855388,0.9895211274039956,0.29300617974063603,0.0,0.9979074699954127,0.5
27,0.859193967705753,0.2595601888019848,0.0,0.6026736920048095,0.8255420963699066,0.19924192518318104,0.0,0.9182840582841807,1.0
28,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574,0.0
29,0.9550843056258228,0.02367704905325859,0.0,0.5131824332109401,0.9931019033797784,0.8589150087094609,0.0,0.29949254354971483,0.75
30,0.9438175688196286,0.18194140020388144,0.0,0.4653882419814522,0.4858492298612028,0.6597167245350697,0.0,0.6850617774086589,1.0
31,0.9411716154403775,0.4256492825379582,0.0,0.451640791978946,0.7846354126205615,0.46198193547272187,0.0,0.27259187276557134,0.75
32,0.9127890402802035,0.5833818058484808,0.0,0.5019660761173658,0.707961727653109,0.7990405550196975,0.0,0.8408346535839734,1.0
33,0.8506145076373377,0.599632489610506,0.0,0.5689910390843569,0.8635285248502604,0.8718559495423263,0.0,0.39818441964453116,0.0
34,0.956709608308232,0.49400681534372215,0.0,0.3929808214937057,0.670414614238941,0.24683977751904493,0.0,0.5051813343573517,0.5
35,0.859193967705753,0.2595601888019848,0.0,0.6026736920048095,0.8255420963699066,0.19924192518318104,0.0,0.9182840582841807,0.5
36,0.8826594618940757,0.012925154545679884,0.0,0.6217753738783837,0.9645767266021411,0.728995522739964,0.0,0.9240231345580087,0.0
37,0.9434625683510299,0.10847311899630027,0.0,0.42832418452553966,0.8638556569262927,0.1453011644108768,0.0,0.4151709937338963,0.25
38,0.9438175688196286,0.18194140020388144,0.0,0.4653882419814522,0.4858492298612028,0.6597167245350697,0.0,0.6850617774086589,0.0
39,0.8744257119557013,0.18670560692840454,0.0,0.6146764563273304,0.9234145228716372,0.3546922079186539,0.0,0.8880519501060664,0.0
40,0.9458808392483341,0.21272230802728703,0.0,0.5207207869352994,0.8956970728830566,0.9268855277430206,0.0,0.3679543874793821,1.0
41,0.9058485608520288,0.5914917429991584,0.0,0.4539759181969662,0.589677489058477,0.5133326280260417,0.0,0.602177703351682,0.0
42,0.8181939387806951,0.2219006804589859,0.0,0.6750322438229782,0.8404661163603594,0.6698085668345942,0.0,0.8584085840677256,1.0
43,0.8744257119557013,0.18670560692840454,0.0,0.6146764563273304,0.9234145228716372,0.3546922079186539,0.0,0.8880519501060664,0.75
44,0.9127890402802035,0.5833818058484808,0.0,0.5019660761173658,0.707961727653109,0.7990405550196975,0.0,0.8408346535839734,0.5
45,0.8725998303046627,0.7392463259729741,0.0,0.43296816700370294,0.7237776034265996,0.3800432759641878,0.0,0.9735393022715818,0.0
46,0.9633834309564181,0.5832208428051805,0.0,0.347878562539964,0.5155696871427792,0.47765075635819715,0.0,0.9803846929369909,1.0
47,0.8725998303046627,0.7392463259729741,0.0,0.43296816700370294,0.7237776034265996,0.3800432759641878,0.0,0.9735393022715818,0.75
48,0.9132294446522653,0.8599510327564929,0.0,0.3394141021702589,0.9751670219143678,0.18407315799684512,0.0,0.8658271394629379,0.25
49,0.9709245476880972,0.3376290538517618,0.0,0.45794350287801533,0.7443210734327613,0.3704709755607882,0.0,0.9395751682886112,0.5
50,0.8181939387806951,0.2219006804589859,0.0,0.6750322438229782,0.8404661163603594,0.6698085668345942,0.0,0.8584085840677256,0.0
51,0.9132294446522653,0.8599510327564929,0.0,0.3394141021702589,0.9751670219143678,0.18407315799684512,0.0,0.8658271394629379,0.0
52,0.9411716154403775,0.4256492825379582,0.0,0.451640791978946,0.7846354126205615,0.46198193547272187,0.0,0.27259187276557134,0.0
53,0.8779384828102986,0.5329226389814614,0.0,0.5534313768233938,0.7226840380445619,0.8204278879391631,0.0,0.46938223624990105,1.0
54,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574,1.0
55,0.8779384828102986,0.5329226389814614,0.0,0.5534313768233938,0.7226840380445619,0.8204278879391631,0.0,0.46938223624990105,0.0
56,0.8506145076373377,0.599632489610506,0.0,0.5689910390843569,0.8635285248502604,0.8718559495423263,0.0,0.39818441964453116,0.25
57,0.9132294446522653,0.8599510327564929,0.0,0.3394141021702589,0.9751670219143678,0.18407315799684512,0.0,0.8658271394629379,0.75
58,0.8744257119557013,0.18670560692840454,0.0,0.6146764563273304,0.9234145228716372,0.3546922079186539,0.0,0.8880519501060664,1.0
59,0.9633834309564181,0.5832208428051805,0.0,0.347878562539964,0.5155696871427792,0.47765075635819715,0.0,0.9803846929369909,0.0
60,0.8181939387806951,0.2219006804589859,0.0,0.6750322438229782,0.8404661163603594,0.6698085668345942,0.0,0.8584085840677256,0.5
61,0.9633834309564181,0.5832208428051805,0.0,0.347878562539964,0.5155696871427792,0.47765075635819715,0.0,0.9803846929369909,0.75
62,0.8826594618940757,0.012925154545679884,0.0,0.6217753738783837,0.9645767266021411,0.728995522739964,0.0,0.9240231345580087,0.75
63,0.9474693060114879,0.3272122078339603,0.0,0.456832882208169,0.6658526580487869,0.4458941567835173,0.0,0.6483490330352177,0.0
64,0.9132294446522653,0.8599510327564929,0.0,0.3394141021702589,0.9751670219143678,0.18407315799684512,0.0,0.8658271394629379,1.0
65,0.9504984288044059,0.2603080510389816,0.0,0.48558390685016734,0.7917394405624371,0.7070878203887522,0.0,0.16341306960235596,0.0
66,0.9550843056258228,0.02367704905325859,0.0,0.5131824332109401,0.9931019033797784,0.8589150087094609,0.0,0.29949254354971483,0.0
67,0.8181939387806951,0.2219006804589859,0.0,0.6750322438229782,0.8404661163603594,0.6698085668345942,0.0,0.8584085840677256,0.75
68,0.8235123440278466,0.7320670441130197,0.0,0.5242720704855388,0.9895211274039956,0.29300617974063603,0.0,0.9979074699954127,0.75
69,0.9550843056258228,0.02367704905325859,0.0,0.5131824332109401,0.9931019033797784,0.8589150087094609,0.0,0.29949254354971483,1.0
70,0.6506332878073464,0.8188028759038082,0.0,0.4791343385829371,0.7854232876541,0.5550942628989702,0.0,0.8975744683040151,0.75
71,0.8506145076373377,0.599632489610506,0.0,0.5689910390843569,0.8635285248502604,0.8718559495423263,0.0,0.39818441964453116,0.5
72,0.8779384828102986,0.5329226389814614,0.0,0.5534313768233938,0.7226840380445619,0.8204278879391631,0.0,0.46938223624990105,0.75
73,0.9411716154403775,0.4256492825379582,0.0,0.451640791978946,0.7846354126205615,0.46198193547272187,0.0,0.27259187276557134,0.5
74,0.9474693060114879,0.3272122078339603,0.0,0.456832882208169,0.6658526580487869,0.4458941567835173,0.0,0.6483490330352177,0.5
75,0.8181939387806951,0.2219006804589859,0.0,0.6750322438229782,0.8404661163603594,0.6698085668345942,0.0,0.8584085840677256,0.25
76,0.9434625683510299,0.10847311899630027,0.0,0.42832418452553966,0.8638556569262927,0.1453011644108768,0.0,0.4151709937338963,0.0
77,0.9550843056258228,0.02367704905325859,0.0,0.5131824332109401,0.9931019033797784,0.8589150087094609,0.0,0.29949254354971483,0.5
78,0.956709608308232,0.49400681534372215,0.0,0.3929808214937057,0.670414614238941,0.24683977751904493,0.0,0.5051813343573517,0.0
79,0.8990139926581585,0.21551921341668262,0.0,0.5668544526490809,0.8751685692928047,0.5289367775978088,0.0,0.5318144601709737,1.0
80,0.8990139926581585,0.21551921341668262,0.0,0.5668544526490809,0.8751685692928047,0.5289367775978088,0.0,0.5318144601709737,0.0
81,0.9434625683510299,0.10847311899630027,0.0,0.42832418452553966,0.8638556569262927,0.1453011644108768,0.0,0.4151709937338963,0.75
82,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574,0.25
83,0.9434625683510299,0.10847311899630027,0.0,0.42832418452553966,0.8638556569262927,0.1453011644108768,0.0,0.4151709937338963,1.0
84,0.9127890402802035,0.5833818058484808,0.0,0.5019660761173658,0.707961727653109,0.7990405550196975,0.0,0.8408346535839734,0.25
85,0.9709245476880972,0.3376290538517618,0.0,0.45794350287801533,0.7443210734327613,0.3704709755607882,0.0,0.9395751682886112,0.25
86,0.9420246242476903,0.1368208779458957,0.0,0.555819574543401,0.836266293105924,0.9506453456007495,0.0,0.807622251463624,1.0
87,0.9474693060114879,0.3272122078339603,0.0,0.456832882208169,0.6658526580487869,0.4458941567835173,0.0,0.6483490330352177,0.75
88,0.8826594618940757,0.012925154545679884,0.0,0.6217753738783837,0.9645767266021411,0.728995522739964,0.0,0.9240231345580087,0.25
89,0.9058485608520288,0.5914917429991584,0.0,0.4539759181969662,0.589677489058477,0.5133326280260417,0.0,0.602177703351682,0.75
90,0.9458808392483341,0.21272230802728703,0.0,0.5207207869352994,0.8956970728830566,0.9268855277430206,0.0,0.3679543874793821,0.0
91,0.886335603711322,0.2311879719901942,0.0,0.6154953534668597,0.9093544515174312,0.8014515218023293,0.0,0.7127837253972574,0.75
92,0.9438175688196286,0.18194140020388144,0.0,0.4653882419814522,0.4858492298612028,0.6597167245350697,0.0,0.6850617774086589,0.75
93,0.9709245476880972,0.3376290538517618,0.0,0.45794350287801533,0.7443210734327613,0.3704709755607882,0.0,0.9395751682886112,0.0
94,0.9058485608520288,0.5914917429991584,0.0,0.4539759181969662,0.589677489058477,0.5133326280260417,0.0,0.602177703351682,0.5
95,0.9420246242476903,0.1368208779458957,0.0,0.555819574543401,0.836266293105924,0.9506453456007495,0.0,0.807622251463624,0.0
96,0.8744257119557013,0.18670560692840454,0.0,0.6146764563273304,0.9234145228716372,0.3546922079186539,0.0,0.8880519501060664,0.5
97,0.9633834309564181,0.5832208428051805,0.0,0.347878562539964,0.5155696871427792,0.47765075635819715,0.0,0.9803846929369909,0.5
98,0.9058485608520288,0.5914917429991584,0.0,0.4539759181969662,0.589677489058477,0.5133326280260417,0.0,0.602177703351682,1.0
99,0.9127890402802035,0.5833818058484808,0.0,0.5019660761173658,0.707961727653109,0.7990405550196975,0.0,0.8408346535839734,0.75
