,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature
25,0.6692913676316866,0.31284652874773206,0.0,0.6111462544209086,0.2094116822079731,0.013555275618579917,0.0,0.2598845410726621,0.4285716029575886
26,0.09940549472537975,0.08098759864630527,0.0,0.6974174481622435,0.486455944114089,0.9415126735906821,0.0,0.4885538838354044,0.4285716029575886
27,0.17450399751926807,0.5964974057188962,0.0,0.5679384549814522,0.9825944646589178,0.3501188596806622,0.0,0.5984403972729845,1.00000017438616
28,0.35883360684606586,0.38339905076026176,0.0,0.5782107972290511,0.004925888004737011,0.4276852606703763,0.0,0.832825963870927,1.7438616006464665e-07
29,0.9415805866742659,0.06693034714478334,0.0,0.551667186653531,0.2082227930622806,0.749584915618399,0.0,0.4729927737819159,0.7142858886718744
30,0.8659832570407598,0.24246232473940127,0.0,0.5815995348907207,0.3420505023600121,0.3267513914282978,0.0,0.004949431312471807,1.00000017438616
31,0.6698348803766712,0.5874833177600679,0.0,0.5341184781431595,0.13569762159771193,0.7625787861568304,0.0,0.3966506772009134,0.7142858886718744
32,0.5441787331685174,0.9130383760244037,0.0,0.41709866878125934,0.4811440255892985,0.4665486503333217,0.0,0.7699964036489946,1.00000017438616
33,0.1705588833314441,0.24592450560348442,0.0,0.6930167725114871,0.9637690305168608,0.942555610394054,0.0,0.8147148223760677,1.7438616006464665e-07
34,0.9706618358944751,0.6941051461630293,0.0,0.495039324320694,0.7334027010539312,0.5160040768850305,0.0,0.16287983117685276,0.4285716029575886
35,0.17450399751926807,0.5964974057188962,0.0,0.5679384549814522,0.9825944646589178,0.3501188596806622,0.0,0.5984403972729845,0.4285716029575886
36,0.3265543296957567,0.39186567999216293,0.0,0.6476193281192926,0.7956363854565384,0.4910833514380047,0.0,0.08190263412150289,1.7438616006464665e-07
37,0.8658814418726889,0.04516897779889395,0.0,0.6458309495780789,0.9486956303584972,0.7026099129899762,0.0,0.43876740132337616,0.14285731724330292
38,0.8659832570407598,0.24246232473940127,0.0,0.5815995348907207,0.3420505023600121,0.3267513914282978,0.0,0.004949431312471807,1.7438616006464665e-07
39,0.2763152599369011,0.7842632061800553,0.0,0.4330377003721618,0.4282813791746149,0.8817901001527436,0.0,0.5266540552654043,1.7438616006464665e-07
40,0.9093449681124609,0.2541446790711153,0.0,0.6007910601292448,0.7595176900939827,0.45844430341110565,0.0,0.9155386632073358,1.00000017438616
41,0.5117721604561678,0.161288265617075,0.0,0.6727317064555209,0.2210118288707471,0.4582069216567734,0.0,0.8582249588400398,1.7438616006464665e-07
42,0.020838107000459714,0.625793301586506,0.0,0.44805740324391347,0.031560946422023006,0.39677989585292256,0.0,0.9440273850907747,1.00000017438616
43,0.2763152599369011,0.7842632061800553,0.0,0.4330377003721618,0.4282813791746149,0.8817901001527436,0.0,0.5266540552654043,0.7142858886718744
44,0.5441787331685174,0.9130383760244037,0.0,0.41709866878125934,0.4811440255892985,0.4665486503333217,0.0,0.7699964036489946,0.4285716029575886
45,0.2633108323006463,0.009634600501954676,0.0,0.7367688902328428,0.6653022372020685,0.1395202390566003,0.0,0.9829881309099133,1.7438616006464665e-07
46,0.982898915389535,0.07713730022934111,0.0,0.5277420599677881,0.5075130833902477,0.1377104276334922,0.0,0.6889299003149345,1.00000017438616
47,0.2633108323006463,0.009634600501954676,0.0,0.7367688902328428,0.6653022372020685,0.1395202390566003,0.0,0.9829881309099133,0.7142858886718744
48,0.6692913676316866,0.31284652874773206,0.0,0.6111462544209086,0.2094116822079731,0.013555275618579917,0.0,0.2598845410726621,0.14285731724330292
49,0.9869948169805922,0.30517395209556597,0.0,0.5634060725716485,0.8457484778592562,0.9074089080147444,0.0,0.5908243383748887,0.4285716029575886
50,0.020838107000459714,0.625793301586506,0.0,0.44805740324391347,0.031560946422023006,0.39677989585292256,0.0,0.9440273850907747,1.7438616006464665e-07
51,0.6692913676316866,0.31284652874773206,0.0,0.6111462544209086,0.2094116822079731,0.013555275618579917,0.0,0.2598845410726621,1.7438616006464665e-07
52,0.6698348803766712,0.5874833177600679,0.0,0.5341184781431595,0.13569762159771193,0.7625787861568304,0.0,0.3966506772009134,1.7438616006464665e-07
53,0.28607438392717416,0.6801835496775194,0.0,0.5446000378777842,0.7500526492908065,0.18816045229321,0.0,0.24083621698136137,1.00000017438616
54,0.35883360684606586,0.38339905076026176,0.0,0.5782107972290511,0.004925888004737011,0.4276852606703763,0.0,0.832825963870927,1.00000017438616
55,0.28607438392717416,0.6801835496775194,0.0,0.5446000378777842,0.7500526492908065,0.18816045229321,0.0,0.24083621698136137,1.7438616006464665e-07
56,0.1705588833314441,0.24592450560348442,0.0,0.6930167725114871,0.9637690305168608,0.942555610394054,0.0,0.8147148223760677,0.14285731724330292
57,0.6692913676316866,0.31284652874773206,0.0,0.6111462544209086,0.2094116822079731,0.013555275618579917,0.0,0.2598845410726621,0.7142858886718744
58,0.2763152599369011,0.7842632061800553,0.0,0.4330377003721618,0.4282813791746149,0.8817901001527436,0.0,0.5266540552654043,1.00000017438616
59,0.982898915389535,0.07713730022934111,0.0,0.5277420599677881,0.5075130833902477,0.1377104276334922,0.0,0.6889299003149345,1.7438616006464665e-07
60,0.020838107000459714,0.625793301586506,0.0,0.44805740324391347,0.031560946422023006,0.39677989585292256,0.0,0.9440273850907747,0.4285716029575886
61,0.982898915389535,0.07713730022934111,0.0,0.5277420599677881,0.5075130833902477,0.1377104276334922,0.0,0.6889299003149345,0.7142858886718744
62,0.3265543296957567,0.39186567999216293,0.0,0.6476193281192926,0.7956363854565384,0.4910833514380047,0.0,0.08190263412150289,0.7142858886718744
63,0.9159111728560952,0.4249298950896894,0.0,0.6190283019212186,0.9976445426008315,0.9901243339729398,0.0,0.8347152558944055,1.7438616006464665e-07
64,0.6692913676316866,0.31284652874773206,0.0,0.6111462544209086,0.2094116822079731,0.013555275618579917,0.0,0.2598845410726621,1.00000017438616
65,0.9349286440515768,0.06685769026066843,0.0,0.5524349820858889,0.2113707528972444,0.25386788258651427,0.0,0.8231843652472484,1.7438616006464665e-07
66,0.9415805866742659,0.06693034714478334,0.0,0.551667186653531,0.2082227930622806,0.749584915618399,0.0,0.4729927737819159,1.7438616006464665e-07
67,0.020838107000459714,0.625793301586506,0.0,0.44805740324391347,0.031560946422023006,0.39677989585292256,0.0,0.9440273850907747,0.7142858886718744
68,0.09940549472537975,0.08098759864630527,0.0,0.6974174481622435,0.486455944114089,0.9415126735906821,0.0,0.4885538838354044,0.7142858886718744
69,0.9415805866742659,0.06693034714478334,0.0,0.551667186653531,0.2082227930622806,0.749584915618399,0.0,0.4729927737819159,1.00000017438616
70,0.019974465235604727,0.03923065155734651,0.0,0.718286042365086,0.8415495890751159,0.7961520479479394,0.0,0.5691074809737493,0.7142858886718744
71,0.1705588833314441,0.24592450560348442,0.0,0.6930167725114871,0.9637690305168608,0.942555610394054,0.0,0.8147148223760677,0.4285716029575886
72,0.28607438392717416,0.6801835496775194,0.0,0.5446000378777842,0.7500526492908065,0.18816045229321,0.0,0.24083621698136137,0.7142858886718744
73,0.6698348803766712,0.5874833177600679,0.0,0.5341184781431595,0.13569762159771193,0.7625787861568304,0.0,0.3966506772009134,0.4285716029575886
74,0.9159111728560952,0.4249298950896894,0.0,0.6190283019212186,0.9976445426008315,0.9901243339729398,0.0,0.8347152558944055,0.4285716029575886
75,0.020838107000459714,0.625793301586506,0.0,0.44805740324391347,0.031560946422023006,0.39677989585292256,0.0,0.9440273850907747,0.14285731724330292
76,0.8658814418726889,0.04516897779889395,0.0,0.6458309495780789,0.9486956303584972,0.7026099129899762,0.0,0.43876740132337616,1.7438616006464665e-07
77,0.9415805866742659,0.06693034714478334,0.0,0.551667186653531,0.2082227930622806,0.749584915618399,0.0,0.4729927737819159,0.4285716029575886
78,0.9706618358944751,0.6941051461630293,0.0,0.495039324320694,0.7334027010539312,0.5160040768850305,0.0,0.16287983117685276,1.7438616006464665e-07
79,0.45060813797450655,0.7445593416135964,0.0,0.449458344674696,0.14432415739694543,0.6756880002729996,0.0,0.3001325975058414,1.00000017438616
80,0.45060813797450655,0.7445593416135964,0.0,0.449458344674696,0.14432415739694543,0.6756880002729996,0.0,0.3001325975058414,1.7438616006464665e-07
81,0.8658814418726889,0.04516897779889395,0.0,0.6458309495780789,0.9486956303584972,0.7026099129899762,0.0,0.43876740132337616,0.7142858886718744
82,0.35883360684606586,0.38339905076026176,0.0,0.5782107972290511,0.004925888004737011,0.4276852606703763,0.0,0.832825963870927,0.14285731724330292
83,0.8658814418726889,0.04516897779889395,0.0,0.6458309495780789,0.9486956303584972,0.7026099129899762,0.0,0.43876740132337616,1.00000017438616
84,0.5441787331685174,0.9130383760244037,0.0,0.41709866878125934,0.4811440255892985,0.4665486503333217,0.0,0.7699964036489946,0.14285731724330292
85,0.9869948169805922,0.30517395209556597,0.0,0.5634060725716485,0.8457484778592562,0.9074089080147444,0.0,0.5908243383748887,0.14285731724330292
86,0.7054221063076082,0.6196034714312465,0.0,0.6124319637457647,0.9065750323841014,0.9243614739947388,0.0,0.02208332994987643,1.00000017438616
87,0.9159111728560952,0.4249298950896894,0.0,0.6190283019212186,0.9976445426008315,0.9901243339729398,0.0,0.8347152558944055,0.7142858886718744
88,0.3265543296957567,0.39186567999216293,0.0,0.6476193281192926,0.7956363854565384,0.4910833514380047,0.0,0.08190263412150289,0.14285731724330292
89,0.5117721604561678,0.161288265617075,0.0,0.6727317064555209,0.2210118288707471,0.4582069216567734,0.0,0.8582249588400398,0.7142858886718744
90,0.9093449681124609,0.2541446790711153,0.0,0.6007910601292448,0.7595176900939827,0.45844430341110565,0.0,0.9155386632073358,1.7438616006464665e-07
91,0.35883360684606586,0.38339905076026176,0.0,0.5782107972290511,0.004925888004737011,0.4276852606703763,0.0,0.832825963870927,0.7142858886718744
92,0.8659832570407598,0.24246232473940127,0.0,0.5815995348907207,0.3420505023600121,0.3267513914282978,0.0,0.004949431312471807,0.7142858886718744
93,0.9869948169805922,0.30517395209556597,0.0,0.5634060725716485,0.8457484778592562,0.9074089080147444,0.0,0.5908243383748887,1.7438616006464665e-07
94,0.5117721604561678,0.161288265617075,0.0,0.6727317064555209,0.2210118288707471,0.4582069216567734,0.0,0.8582249588400398,0.4285716029575886
95,0.7054221063076082,0.6196034714312465,0.0,0.6124319637457647,0.9065750323841014,0.9243614739947388,0.0,0.02208332994987643,1.7438616006464665e-07
96,0.2763152599369011,0.7842632061800553,0.0,0.4330377003721618,0.4282813791746149,0.8817901001527436,0.0,0.5266540552654043,0.4285716029575886
97,0.982898915389535,0.07713730022934111,0.0,0.5277420599677881,0.5075130833902477,0.1377104276334922,0.0,0.6889299003149345,0.4285716029575886
98,0.5117721604561678,0.161288265617075,0.0,0.6727317064555209,0.2210118288707471,0.4582069216567734,0.0,0.8582249588400398,1.00000017438616
99,0.5441787331685174,0.9130383760244037,0.0,0.41709866878125934,0.4811440255892985,0.4665486503333217,0.0,0.7699964036489946,0.7142858886718744
